time,angle,tone,sound
0.25,105.1,False,False
0.41,105.1,False,False
0.46,104.88,False,False
0.52,105.71,False,False
0.58,104.88,False,False
0.63,104.88,False,False
0.69,105.71,False,False
0.74,104.88,False,False
0.8,104.88,False,False
0.85,105.48,False,False
0.91,104.88,False,False
0.96,104.88,False,False
1.01,105.48,False,False
1.06,105.71,False,False
1.12,104.88,False,False
1.17,104.66,False,False
1.22,104.88,False,False
1.28,104.88,False,False
1.33,105.71,False,False
1.38,105.71,False,False
1.44,105.71,False,False
1.49,105.71,False,False
1.55,105.1,False,False
1.6,104.25,False,False
1.66,105.1,False,False
1.73,105.71,False,False
1.79,105.95,False,False
1.84,105.1,False,False
1.89,105.95,False,False
1.94,105.95,False,False
2.0,105.95,False,False
2.05,106.78,False,False
2.11,105.95,False,False
2.16,105.95,False,False
2.21,105.95,False,False
2.26,106.78,False,False
2.32,106.78,False,False
2.37,106.78,False,False
2.42,107.61,False,False
2.48,107.61,False,False
2.53,106.78,False,False
2.58,107.61,False,False
2.63,107.61,False,False
2.69,107.61,False,False
2.74,107.88,False,False
2.79,107.88,False,False
2.85,107.88,False,False
2.9,107.88,False,False
2.95,107.88,False,False
3.0,108.71,False,False
3.06,108.71,False,False
3.13,108.15,False,False
3.19,109.83,False,False
3.24,109.0,False,False
3.29,109.0,False,False
3.34,109.0,False,False
3.4,109.25,False,False
3.45,109.25,False,False
3.51,109.25,False,False
3.56,109.39,False,False
3.62,110.35,False,False
3.67,108.97,False,False
3.72,107.04,False,False
3.77,106.44,False,False
3.82,109.54,False,False
3.88,109.25,False,False
3.93,107.88,False,False
3.98,108.15,False,False
4.04,108.71,False,False
4.09,108.15,False,False
4.14,107.88,False,False
4.19,108.43,False,False
4.24,108.71,False,False
4.3,107.3,False,False
4.35,107.04,False,False
4.4,108.71,False,False
4.46,107.61,False,False
4.51,107.04,False,False
4.59,108.15,False,False
4.65,108.71,False,False
4.71,107.88,False,False
4.76,108.43,False,False
4.82,107.88,False,False
4.87,107.04,False,False
4.92,107.61,False,False
4.98,108.43,False,False
5.03,107.88,False,False
5.09,107.88,False,False
5.14,107.88,False,False
5.2,107.88,False,False
5.25,107.88,False,False
5.31,108.71,False,False
5.36,107.88,False,False
5.41,107.88,False,False
5.47,107.88,False,False
5.52,107.88,False,False
5.57,108.71,False,False
5.63,108.15,False,False
5.68,108.15,False,False
5.73,108.15,False,False
5.79,108.58,False,False
5.84,109.0,False,False
5.89,108.15,False,False
5.94,108.15,False,False
6.0,108.15,False,False
6.08,108.15,False,False
6.13,108.15,False,False
6.18,108.15,False,False
6.23,108.15,False,False
6.29,108.15,False,False
6.34,108.15,False,False
6.39,108.15,False,False
6.45,108.15,False,False
6.5,108.15,False,False
6.56,107.3,False,False
6.62,108.15,False,False
6.68,108.15,False,False
6.73,108.15,False,False
6.79,108.15,False,False
6.84,107.3,False,False
6.89,108.15,False,False
6.95,108.15,False,False
7.01,108.15,False,False
7.06,108.15,False,False
