time,angle,tone,sound
0.24,-103.32,False,False
0.39,-103.32,False,False
0.44,-101.04,False,False
0.5,-101.71,False,False
0.55,-102.38,False,False
0.61,-100.91,False,False
0.66,-101.04,False,False
0.72,-100.78,False,False
0.77,-100.12,False,False
0.83,-100.78,False,False
0.88,-100.78,False,False
0.93,-100.78,False,False
0.98,-100.78,False,False
1.04,-100.78,False,False
1.09,-100.78,False,False
1.14,-100.78,False,False
1.19,-100.78,False,False
1.24,-100.78,False,False
1.3,-100.78,False,False
1.35,-100.78,False,False
1.4,-100.78,False,False
1.45,-100.78,False,False
1.51,-100.78,False,False
1.56,-100.12,False,False
1.61,-100.78,False,False
1.68,-100.78,False,False
1.73,-100.78,False,False
1.79,-100.78,False,False
1.84,-100.78,False,False
1.89,-100.78,False,False
1.94,-100.78,False,False
1.99,-100.78,False,False
2.05,-100.78,False,False
2.1,-100.78,False,False
2.15,-100.78,False,False
2.2,-100.78,False,False
2.26,-100.78,False,False
2.31,-100.78,False,False
2.36,-100.78,False,False
2.42,-100.78,False,False
2.47,-100.78,False,False
2.52,-100.78,False,False
2.58,-100.78,False,False
2.64,-100.78,False,False
2.69,-100.78,False,False
2.75,-100.78,False,False
2.8,-100.78,False,False
2.85,-100.78,False,False
2.9,-100.78,False,False
2.96,-100.78,False,False
3.01,-100.78,False,False
3.06,-100.78,False,False
3.14,-100.78,False,False
3.2,-100.78,False,False
3.25,-100.78,False,False
3.3,-100.78,False,False
3.35,-100.78,False,False
3.41,-100.78,False,False
3.47,-100.78,False,False
3.52,-100.78,False,False
3.58,-100.78,False,False
3.64,-100.78,False,False
3.69,-100.78,False,False
3.75,-100.78,False,False
4.01,-100.78,False,False
4.06,-99.46,False,False
4.12,-100.78,False,False
4.17,-100.78,False,False
4.23,-100.78,False,False
4.28,-100.78,False,False
4.34,-100.78,False,False
4.39,-100.78,False,False
4.44,-100.78,False,False
4.5,-100.78,False,False
4.55,-100.78,False,False
4.61,-100.78,False,False
4.67,-100.78,False,False
4.72,-100.78,False,False
4.8,-100.78,False,False
4.86,-100.91,False,False
4.92,-100.78,False,False
4.98,-100.78,False,False
5.04,-100.78,False,False
5.09,-100.78,False,False
5.15,-100.78,False,False
5.2,-101.04,False,False
5.26,-101.04,False,False
5.32,-101.04,False,False
5.37,-101.04,False,False
5.43,-100.78,False,False
5.49,-100.78,False,False
5.54,-100.91,False,False
5.6,-101.04,False,False
5.65,-100.91,False,False
5.71,-100.78,False,False
5.76,-100.78,False,False
5.81,-100.78,False,False
5.87,-100.78,False,False
5.93,-100.78,False,False
5.98,-101.58,False,False
6.04,-101.04,False,False
6.09,-100.78,False,False
6.15,-101.04,False,False
6.2,-102.38,False,False
6.26,-100.91,False,False
6.34,-101.04,False,False
6.4,-101.04,False,False
6.45,-100.91,False,False
6.5,-102.38,False,False
6.56,-101.04,False,False
6.61,-101.04,False,False
6.66,-101.04,False,False
6.71,-101.04,False,False
